Temperature (F),Humidity (%),Wind Speed (mph),Rain Tomorrow (Yes/No)
70,80,10,Yes
65,70,5,No
80,90,15,Yes
75,60,8,No
60,85,12,Yes
85,75,20,Yes
72,55,3,No
90,95,25,Yes
68,78,10,Yes
78,62,7,No
73,82,11,Yes
67,68,4,No
82,92,18,Yes
77,58,9,No
62,87,13,Yes
87,77,21,Yes
74,57,6,No
92,97,26,Yes
70,79,10,Yes
79,63,8,No
75,83,12,Yes
69,71,5,No
84,93,19,Yes
78,60,10,No
64,88,14,Yes
88,78,22,Yes
76,59,7,No
94,98,27,Yes
72,81,11,Yes
81,65,9,No
66,89,15,Yes
89,79,23,Yes
77,61,8,No
95,99,28,Yes
74,82,12,Yes
83,67,10,No
68,90,16,Yes
90,80,24,Yes
78,62,9,No
96,100,29,Yes
76,83,13,Yes
85,69,11,No
70,91,17,Yes
92,82,25,Yes
80,64,10,No
97,101,30,Yes
78,84,14,Yes
87,71,12,No